"Qty","Value","Device","Package","Parts","Description","DATASHEET-URL","IR-UL","IR-VDE","MOUNT","PART-NUMBER","PINS","PITCH","POPULARITY","PROD_ID","TYPE","VALUE","WORKING-VOLTAGE-UL","WORKING-VOLTAGE-VDE";
"1","","DCBARRELPTH","DCJACK_2MM_PTH","CN1","2.0mm DC Barrel Jack","","","","","","","","","","","","","";
"1"," 691311500102 ","691311500102","691311500102","HEAT","WR-TBL Serie 311 - 5.08 mm Close Vertical PCB Header","https://www.we-online.com/catalog/datasheet/691311500102.pdf","20A","20A","THT"," 691311500102 "," 2 ","5.08mm","","","Vertical"," 691311500102 ","300V (AC)","300V (AC)";
"5"," 691311500103 ","691311500103","691311500103","AMBIENT, CENTER, LOWER, OUTPUT, UPPER","WR-TBL Serie 311 - 5.08 mm Close Vertical PCB Header","https://www.we-online.com/catalog/datasheet/691311500103.pdf","20A","20A","THT"," 691311500103 "," 3 ","5.08mm","","","Vertical"," 691311500103 ","300V (AC)","300V (AC)";
"1"," 691311500104 ","691311500104","691311500104","FAN","WR-TBL Serie 311 - 5.08 mm Close Vertical PCB Header","https://www.we-online.com/catalog/datasheet/691311500104.pdf","20A","20A","THT"," 691311500104 "," 4 ","5.08mm","","","Vertical"," 691311500104 ","300V (AC)","300V (AC)";
"1","0.1μF","CAP_CERAMIC_2.54","CAP_PTH-2.54","C1","","","","","","","","","","","","","","";
"1","1.0μF","CAP_CERAMIC_2.54","CAP_PTH-2.54","C2","","","","","","","","","","","","","","";
"1","10uF","CAP_CERAMIC_2.54","CAP_PTH-2.54","C3","","","","","","","","","","","","","","";
"1","1uF","CAP_CERAMIC_2.54","CAP_PTH-2.54","C4","","","","","","","","","","","","","","";
"5","2.2kΩ","RESISTORAXIAL-0.3","AXIAL-0.3","R1, R2, R3, R4, R5","Generic Resistor Package","","","","","","","",""," ",""," ","","";
"1","7805TV","7805TV","TO220V","IC1","Positive VOLTAGE REGULATOR","","","","","","","","57","","","","","";
"1","Lolin D32","WEMOS-D32D32_PRO","D32_PRO","D32","D32_REVERSE is a Reverse silkscreen for placing the Wemos D32 on the underside of the board","","","","","","","","","","","","","";
